timestamp,algorithm,n,seed,neg_ratio,dataset_key,batch_id,run_kind,runtime_us,k,neg_count,pos_count,partition_ok,k_ok,ok,array_file
20260327_152016_025322_0e5047,Direct Scan,100000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151639_753247_b409a7,all,72084920,30020,30020,69980,True,True,True,
20260327_152016_123778_f955d6,Two Pointers,100000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151639_753247_b409a7,all,14753,30020,30020,69980,True,True,True,
20260327_152016_237139_29c1d2,Transform-and-Conquer,100000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151639_753247_b409a7,all,20099,30020,30020,69980,True,True,True,
20260327_152017_452337_b37d24,Divide-and-Conquer,100000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151639_753247_b409a7,all,388088,30020,30020,69980,True,True,True,
20260327_152102_205543_c955da,Direct Scan,1000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152102_110341_f19496,all,18653,679,679,321,True,True,True,
20260327_152102_252904_6b1873,Two Pointers,1000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152102_110341_f19496,all,281,679,679,321,True,True,True,
20260327_152102_300334_6e83b7,Transform-and-Conquer,1000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152102_110341_f19496,all,336,679,679,321,True,True,True,
20260327_152102_354057_9d2cff,Divide-and-Conquer,1000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152102_110341_f19496,all,3857,679,679,321,True,True,True,
20260327_152108_769750_be675e,Direct Scan,5000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152108_186013_1e51aa,all,181672,3499,3499,1501,True,True,True,
20260327_152108_801342_444f2a,Two Pointers,5000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152108_186013_1e51aa,all,670,3499,3499,1501,True,True,True,
20260327_152108_818168_914cbd,Transform-and-Conquer,5000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152108_186013_1e51aa,all,786,3499,3499,1501,True,True,True,
20260327_152108_889595_d9918c,Divide-and-Conquer,5000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152108_186013_1e51aa,all,15061,3499,3499,1501,True,True,True,
20260327_152116_365495_ef20e0,Direct Scan,10000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152114_356914_af2ca8,all,665269,7034,7034,2966,True,True,True,
20260327_152116_398031_5a4cda,Two Pointers,10000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152114_356914_af2ca8,all,1382,7034,7034,2966,True,True,True,
20260327_152116_429025_83ff49,Transform-and-Conquer,10000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152114_356914_af2ca8,all,1648,7034,7034,2966,True,True,True,
20260327_152116_545663_d516a5,Divide-and-Conquer,10000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152114_356914_af2ca8,all,31238,7034,7034,2966,True,True,True,
20260327_152217_868334_d3d2d3,Direct Scan,50000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152124_560415_0dd8f0,all,17764850,35071,35071,14929,True,True,True,
20260327_152217_927076_3eb964,Two Pointers,50000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152124_560415_0dd8f0,all,7597,35071,35071,14929,True,True,True,
20260327_152217_997960_bad6bd,Transform-and-Conquer,50000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152124_560415_0dd8f0,all,11234,35071,35071,14929,True,True,True,
20260327_152218_558116_d9e42a,Divide-and-Conquer,50000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152124_560415_0dd8f0,all,177099,35071,35071,14929,True,True,True,
20260327_152652_303382_bc4f74,Direct Scan,100000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152314_928061_c56496,all,72456138,70094,70094,29906,True,True,True,
20260327_152652_398262_8839d2,Two Pointers,100000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152314_928061_c56496,all,14832,70094,70094,29906,True,True,True,
20260327_152652_510075_af1ce3,Transform-and-Conquer,100000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152314_928061_c56496,all,20606,70094,70094,29906,True,True,True,
20260327_152653_686120_34ca07,Divide-and-Conquer,100000,123,0.700000,seed=123|neg_ratio=0.700000,all_20260327_152314_928061_c56496,all,376911,70094,70094,29906,True,True,True,
20260327_152720_468713_165977,Direct Scan,1000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152720_420883_a20944,all,7577,507,507,493,True,True,True,
20260327_152720_500691_c7f894,Two Pointers,1000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152720_420883_a20944,all,141,507,507,493,True,True,True,
20260327_152720_516801_fe3a81,Transform-and-Conquer,1000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152720_420883_a20944,all,157,507,507,493,True,True,True,
20260327_152720_552674_0847c4,Divide-and-Conquer,1000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152720_420883_a20944,all,2659,507,507,493,True,True,True,
20260327_152728_404879_be4906,Direct Scan,5000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152727_805027_8a3db5,all,193717,2493,2493,2507,True,True,True,
20260327_152728_436564_30070c,Two Pointers,5000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152727_805027_8a3db5,all,680,2493,2493,2507,True,True,True,
20260327_152728_464007_1d7f89,Transform-and-Conquer,5000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152727_805027_8a3db5,all,800,2493,2493,2507,True,True,True,
20260327_152728_527128_3006a3,Divide-and-Conquer,5000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152727_805027_8a3db5,all,14977,2493,2493,2507,True,True,True,
20260327_152737_495049_0784f6,Direct Scan,10000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152735_097045_ab8e8d,all,791922,5002,5002,4998,True,True,True,
20260327_152737_526635_d02c8e,Two Pointers,10000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152735_097045_ab8e8d,all,1427,5002,5002,4998,True,True,True,
20260327_152737_558308_34c8a5,Transform-and-Conquer,10000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152735_097045_ab8e8d,all,1720,5002,5002,4998,True,True,True,
20260327_152737_710996_84715f,Divide-and-Conquer,10000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152735_097045_ab8e8d,all,38990,5002,5002,4998,True,True,True,
20260327_152847_401849_f71d1c,Direct Scan,50000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152743_935485_f1a443,all,21152505,24924,24924,25076,True,True,True,
20260327_152847_465066_391148,Two Pointers,50000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152743_935485_f1a443,all,8061,24924,24924,25076,True,True,True,
20260327_152847_538928_ac0f26,Transform-and-Conquer,50000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152743_935485_f1a443,all,12458,24924,24924,25076,True,True,True,
20260327_152848_122787_4cc3dc,Divide-and-Conquer,50000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152743_935485_f1a443,all,182465,24924,24924,25076,True,True,True,
20260327_153318_173279_00f798,Direct Scan,100000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152859_742095_9e2c67,all,86139700,49864,49864,50136,True,True,True,
20260327_153318_280281_1ccad1,Two Pointers,100000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152859_742095_9e2c67,all,17048,49864,49864,50136,True,True,True,
20260327_153318_399955_a8f168,Transform-and-Conquer,100000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152859_742095_9e2c67,all,20495,49864,49864,50136,True,True,True,
20260327_153319_636101_22c491,Divide-and-Conquer,100000,1,0.500000,seed=1|neg_ratio=0.500000,all_20260327_152859_742095_9e2c67,all,392288,49864,49864,50136,True,True,True,
20260327_153341_282754_f51253,Direct Scan,1000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153341_187272_72bf5f,all,18943,502,502,498,True,True,True,
20260327_153341_298466_ce34ad,Two Pointers,1000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153341_187272_72bf5f,all,148,502,502,498,True,True,True,
20260327_153341_327712_4c6f7d,Transform-and-Conquer,1000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153341_187272_72bf5f,all,165,502,502,498,True,True,True,
20260327_153341_352386_e7dbac,Divide-and-Conquer,1000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153341_187272_72bf5f,all,2651,502,502,498,True,True,True,
20260327_153347_786823_0cdd4c,Direct Scan,5000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153347_153814_522002,all,200715,2531,2531,2469,True,True,True,
20260327_153347_802611_516252,Two Pointers,5000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153347_153814_522002,all,704,2531,2531,2469,True,True,True,
20260327_153347_834312_ff36fe,Transform-and-Conquer,5000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153347_153814_522002,all,864,2531,2531,2469,True,True,True,
20260327_153347_902578_0f1d42,Divide-and-Conquer,5000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153347_153814_522002,all,15396,2531,2531,2469,True,True,True,
20260327_153356_711500_fe42ae,Direct Scan,10000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153354_336569_598fb2,all,786733,5041,5041,4959,True,True,True,
20260327_153356_742956_d8389a,Two Pointers,10000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153354_336569_598fb2,all,1418,5041,5041,4959,True,True,True,
20260327_153356_774476_5ae4f8,Transform-and-Conquer,10000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153354_336569_598fb2,all,1792,5041,5041,4959,True,True,True,
20260327_153356_900940_0c8d2d,Divide-and-Conquer,10000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153354_336569_598fb2,all,33869,5041,5041,4959,True,True,True,
20260327_153507_406818_b5d484,Direct Scan,50000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153403_088680_f2fc86,all,21431372,25007,25007,24993,True,True,True,
20260327_153507_454404_9e6903,Two Pointers,50000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153403_088680_f2fc86,all,7520,25007,25007,24993,True,True,True,
20260327_153507_521545_0d66ea,Transform-and-Conquer,50000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153403_088680_f2fc86,all,9599,25007,25007,24993,True,True,True,
20260327_153508_081191_e540cd,Divide-and-Conquer,50000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153403_088680_f2fc86,all,175615,25007,25007,24993,True,True,True,
20260327_153935_057231_7b6ffa,Direct Scan,100000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153517_950542_91741c,all,85697781,49901,49901,50099,True,True,True,
20260327_153935_143938_ef0755,Two Pointers,100000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153517_950542_91741c,all,15434,49901,49901,50099,True,True,True,
20260327_153935_258656_30b5b2,Transform-and-Conquer,100000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153517_950542_91741c,all,20126,49901,49901,50099,True,True,True,
20260327_153936_431683_69cff3,Divide-and-Conquer,100000,42,0.500000,seed=42|neg_ratio=0.500000,all_20260327_153517_950542_91741c,all,374301,49901,49901,50099,True,True,True,
20260327_154424_103239_d3b216,Direct Scan,1000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154424_008237_c3f5e4,all,20211,517,517,483,True,True,True,
20260327_154424_124147_33da0d,Two Pointers,1000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154424_008237_c3f5e4,all,185,517,517,483,True,True,True,
20260327_154424_134684_4cb5ae,Transform-and-Conquer,1000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154424_008237_c3f5e4,all,155,517,517,483,True,True,True,
20260327_154424_166028_132440,Divide-and-Conquer,1000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154424_008237_c3f5e4,all,2626,517,517,483,True,True,True,
20260327_154448_599908_1ff550,Direct Scan,5000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154447_997897_a91825,all,192442,2476,2476,2524,True,True,True,
20260327_154448_618163_23f1a4,Two Pointers,5000,999,0.500000,seed=999|neg_ratio=0.500000,all_20260327_154447_997897_a91825,all,918,2476,2476,2524,True,True,True,
